X,Y,id,@id,building,layer,name,addr:housename,heritage,heritage:operator,historic,ref:nrhp,tourism,wikidata,addr:housenumber,addr:street,alt_name,office,old_name,addr:city,addr:postcode,addr:state,amenity,cuisine,takeaway,delivery,opening_hours,outdoor_seating,smoking,website,man_made,building:levels,operator,addr:country,parking,source,addr:unit,entrance,access,female,male
-75.1799998850858,39.8885585561606,way/498593280,way/498593280,yes,,Building 591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17768685,39.88909065,way/498593281,way/498593281,yes,,Building 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17611945,39.8893785,way/498593282,way/498593282,yes,,Building 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17719465,39.8892985,way/498593283,way/498593283,yes,,Building 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17668505,39.8892648,way/498593284,way/498593284,yes,,Building 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1783654759498,39.8890438737271,way/498593285,way/498593285,yes,,Building 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1733526915785,39.896515584074,way/569685326,way/569685326,yes,,,Five Crescent Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1718861,39.8896884,way/607473251,way/607473251,yes,,Building 624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1715544052979,39.8883993568725,way/607473252,way/607473252,industrial,,Building 611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1732542,39.8909237,way/607473253,way/607473253,yes,,Building 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1696718535211,39.8912416469007,way/609287813,way/609287813,yes,,,1050 Constitution,,,,,,,1050,Constitution,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1734900436633,39.8947065000303,way/688788380,way/688788380,parking,,,,,,,,,,,,,,,,,,parking,,,,,,,,,,,,multi-storey,,,,,,
-75.1725773725596,39.8947106436596,way/688788395,way/688788395,yes,,Building 778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17970615,39.8901235,way/707489043,way/707489043,yes,,Building 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1775961292717,39.887184399759,way/707489044,way/707489044,yes,,Building 139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.180368562731,39.8873002682451,way/707489045,way/707489045,yes,,Building 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1783422931133,39.8901892347248,way/707489046,way/707489046,yes,,Building 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18982835,39.885792,way/707489047,way/707489047,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1889218214897,39.8875777501629,way/707489051,way/707489051,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1798091237261,39.8876029324652,way/707489052,way/707489052,yes,,Building 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1850635896016,39.8865252938094,way/707489054,way/707489054,yes,,Building 634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18913225,39.8864934,way/707489055,way/707489055,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1790949529885,39.8901347000147,way/707489060,way/707489060,yes,,Building 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
