origin,dest,count,connection
1,2,1132.87869,weak
1,2,1038.890918,weak
1,2,1007.448988,weak
1,2,1088.585958,weak
1,2,1135.307116,weak
1,2,1131.652687,weak
1,2,888.9255952,weak
1,2,1019.321654,weak
1,2,1159.495214,weak
1,2,973.0625936,weak
1,2,1118.518694,weak
1,2,1041.176065,weak
1,2,978.5727633,weak
1,2,1161.649691,weak
1,2,1167.428766,weak
1,2,1171.093103,weak
1,2,1210.282419,weak
1,2,1362.125593,weak
1,2,1253.373893,weak
1,2,1348.850191,weak
1,2,1227.633796,weak
1,2,1343.717969,weak
1,2,1346.456674,weak
1,2,1410.766223,weak
1,2,1397.834793,weak
1,2,1413.943293,weak
1,2,1439.636065,weak
1,2,1521.997369,weak
1,2,1223.935388,weak
1,2,1343.107153,weak
1,2,1778.554743,weak
1,2,1369.420023,weak
1,2,1379.204529,weak
1,2,1584.24403,weak
1,2,1379.832377,weak
1,2,1259.68402,weak
1,2,1387.951146,weak
1,2,1621.593442,weak
1,2,1603.760049,weak
1,2,1482.121843,weak
1,2,1226.694481,weak
1,2,1645.015835,weak
1,2,1686.516781,weak
1,2,1277.162022,weak
1,2,1431.387379,weak
1,2,1563.738804,weak
1,2,1309.793161,weak
1,2,1678.334261,weak
2,3,139.287348,strong
2,3,1130.761165,weak
2,3,921.0221067,weak
2,3,977.9761941,weak
2,3,833.2535964,weak
2,3,1371.721468,weak
2,3,1172.567552,weak
2,3,972.928184,weak
2,3,1006.702211,weak
2,3,1105.423993,weak
2,3,1520.453208,weak
2,3,917.8390216,weak
2,3,1593.172476,weak
2,3,1439.672231,weak
2,3,1426.638066,weak
2,3,1633.982242,weak
2,3,1433.550034,weak
2,3,1525.253398,weak
2,3,1476.574496,weak
2,3,1522.557949,weak
2,3,931.0236651,weak
2,3,925.0996612,weak
2,3,1515.227961,weak
2,3,841.1815576,weak
2,3,801.4268134,weak
2,3,252.3873059,strong
2,3,753.2754631,strong
2,3,954.2839862,weak
2,3,1090.781996,weak
2,3,998.3938664,weak
2,3,1041.379807,weak
2,3,896.0082985,weak
2,3,1454.484418,weak
2,3,1475.306034,weak
2,3,1360.158749,weak
2,3,1556.930941,weak
2,3,802.4828095,weak
2,3,967.2902872,weak
2,3,730.821288,strong
2,3,917.6222947,weak
2,3,773.7542346,strong
2,3,378.8049328,strong
2,3,853.5508975,weak
2,3,719.9910515,strong
2,3,913.6585787,weak
2,3,389.039088,strong
2,3,872.7409698,weak
2,3,981.5273169,weak
2,3,359.7064685,strong
2,3,110.4311063,strong
2,3,384.7195683,strong
2,3,499.2765228,strong
2,3,458.7150727,strong
2,3,400.0608745,strong
2,3,464.1863822,strong
2,3,161.3522259,strong
2,3,491.7716391,strong
2,3,424.3326617,strong
2,3,971.5092505,weak
2,3,417.3411046,strong
2,3,478.4597236,strong
2,3,393.2369106,strong
2,3,263.5507026,strong
2,3,410.175255,strong
2,3,407.3588257,strong
2,3,492.0086442,strong
2,3,589.0613202,strong
2,3,380.4539683,strong
2,3,316.0941706,strong
2,3,254.8117456,strong
2,3,624.6095718,strong
2,3,531.0911197,strong
2,3,347.5307204,strong
2,3,325.0266273,strong
2,3,333.4677242,strong
2,3,741.4925801,strong
2,3,443.5765795,strong
2,3,297.6718617,strong
2,3,628.7787123,strong
2,3,283.3125486,strong
2,3,764.7639677,strong
2,3,1062.339491,weak
2,3,1062.054885,weak
2,3,1030.463518,weak
2,3,1009.442504,weak
2,3,1041.694664,weak
2,3,1127.803321,weak
2,3,1086.459678,weak
2,3,844.4010134,weak
2,3,997.4870721,weak
2,3,1136.731037,weak
2,3,944.6334249,weak
2,3,1065.890614,weak
2,3,1007.966042,weak
2,3,1085.787714,weak
2,3,1112.016098,weak
2,3,1028.782012,weak
2,3,1048.211375,weak
2,3,1089.790928,weak
2,3,1371.713763,weak
2,3,1182.01242,weak
2,3,1299.891707,weak
2,3,1162.755555,weak
2,3,1349.146951,weak
2,3,1266.725127,weak
2,3,1288.358255,weak
2,3,1415.076891,weak
2,3,1357.232664,weak
2,3,1469.116275,weak
2,3,1398.175554,weak
2,3,1162.258567,weak
2,3,1334.515039,weak
2,3,1690.403971,weak
2,3,1338.476108,weak
2,3,1392.582591,weak
2,3,1532.129508,weak
2,3,1257.114461,weak
2,3,1179.082967,weak
2,3,1268.407871,weak
2,3,1570.503196,weak
2,3,1478.532997,weak
2,3,1359.182396,weak
2,3,1154.296183,weak
2,3,1520.826147,weak
2,3,1563.586388,weak
2,3,1158.619816,weak
2,3,1394.856087,weak
2,3,1439.153324,weak
2,3,1305.514007,weak
2,3,1572.76706,weak
3,4,1243.078641,weak
3,4,1048.2292,weak
3,4,1107.348943,weak
3,4,972.2646191,weak
3,4,1465.390959,weak
3,4,1188.721698,weak
3,4,1002.797511,weak
3,4,1037.455376,weak
3,4,1236.582144,weak
3,4,1596.963788,weak
3,4,915.2558432,weak
3,4,1657.129106,weak
3,4,1470.254966,weak
3,4,1451.813077,weak
3,4,1699.696706,weak
3,4,1522.593879,weak
3,4,1547.596023,weak
3,4,1514.604835,weak
3,4,1577.784285,weak
3,4,971.3903873,weak
3,4,971.6191872,weak
3,4,1613.391192,weak
3,4,843.4580818,weak
3,4,806.5849128,weak
3,4,287.0339326,strong
3,4,763.6978693,strong
3,4,969.6925282,weak
3,4,1107.510908,weak
3,4,1016.023491,weak
3,4,1057.530402,weak
3,4,912.028145,weak
3,4,1468.711461,weak
3,4,1475.77663,weak
3,4,1389.721117,weak
3,4,1619.125948,weak
3,4,841.3140124,weak
3,4,951.9968304,weak
3,4,715.1567386,strong
3,4,952.027549,weak
3,4,764.6999842,strong
3,4,319.6726011,strong
3,4,889.9648722,weak
3,4,714.5242784,strong
3,4,1051.73084,weak
3,4,362.5839701,strong
3,4,1012.027775,weak
3,4,1118.926782,weak
3,4,266.3551989,strong
3,4,192.4345018,strong
3,4,512.7023924,strong
3,4,632.1203847,strong
3,4,593.1811172,strong
3,4,539.314598,strong
3,4,593.9069221,strong
3,4,226.8361421,strong
3,4,622.0170649,strong
3,4,560.853637,strong
3,4,1108.361459,weak
3,4,527.2745022,strong
3,4,603.9954582,strong
3,4,531.7615876,strong
3,4,234.0736862,strong
3,4,367.1089141,strong
3,4,367.1972306,strong
3,4,630.9043301,strong
3,4,588.595181,strong
3,4,472.1638486,strong
3,4,403.0867466,strong
3,4,366.2275218,strong
3,4,679.0536996,strong
3,4,535.8736416,strong
3,4,448.9532607,strong
3,4,415.5123888,strong
3,4,429.9940828,strong
3,4,805.8121896,weak
3,4,520.8803623,strong
3,4,401.5195243,strong
3,4,692.775505,strong
3,4,377.0091316,strong
3,4,810.8397238,weak
3,4,1127.076284,weak
3,4,1097.521772,weak
3,4,1102.948617,weak
3,4,1087.636999,weak
3,4,1092.48434,weak
3,4,1199.137175,weak
3,4,1137.408788,weak
3,4,901.3262151,weak
3,4,1063.462649,weak
3,4,1199.69468,weak
3,4,1008.11982,weak
3,4,1112.744876,weak
3,4,1067.402881,weak
3,4,1206.38276,weak
